date,股票代码,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率,Upper_Wick,Lower_Wick,Spread,Body_Length,Percent_Upper_Wick,Percent_Lower_Wick,Percent_Body_Length,Buying_Volume,Selling_Volume,Cumulative_Buying_Volume,Cumulative_Selling_Volume,CVD,UDVR,UDVR_EMA
2024-09-02,603385,5.08,4.95,5.13,4.94,37853.0,19049154.0,3.74,-2.56,-0.13,0.99,0.04999999999999982,0.009999999999999787,0.1899999999999995,0.1299999999999999,0.26315789473684187,0.05263157894736744,0.6842105263157907,5976.789473684187,31876.210526315812,5976.789473684187,31876.210526315812,-25899.421052631624,0.0,0.0
2024-09-03,603385,4.93,4.97,5.02,4.89,21523.0,10682445.0,2.63,0.4,0.02,0.56,0.04999999999999982,0.040000000000000036,0.1299999999999999,0.040000000000000036,0.3846153846153836,0.3076923076923082,0.3076923076923082,14072.730769230777,7450.269230769226,7056.248313090399,28619.418353576268,-21563.170040485868,2152300000.0,286973333.333333
2024-09-04,603385,4.96,4.92,4.98,4.9,22135.0,10915208.0,1.61,-1.01,-0.05,0.58,0.020000000000000462,0.019999999999999574,0.08000000000000007,0.040000000000000036,0.25000000000000555,0.24999999999999445,0.5,5533.75,16601.25,6853.24853801168,27016.995906432767,-20163.747368421085,0.972351,248710222.351869
2024-09-05,603385,4.95,5.02,5.03,4.92,21806.0,10852332.0,2.24,2.03,0.1,0.57,0.010000000000000675,0.03000000000000025,0.11000000000000032,0.0699999999999994,0.09090909090909678,0.2727272727272742,0.636363636363629,17841.272727272648,3964.7272727273526,8318.318429913143,23943.36008860538,-15625.041658692237,1.957488,215548859.632618
2024-09-06,603385,5.01,4.89,5.02,4.89,22269.0,11016343.0,2.59,-2.59,-0.13,0.58,0.009999999999999787,0.0,0.1299999999999999,0.1200000000000001,0.07692307692307535,0.0,0.9230769230769247,856.4999999999824,21412.50000000002,7323.409305924722,23605.912076791334,-16282.502770866613,0.97579,186809011.811708
2024-09-09,603385,4.89,4.92,4.94,4.81,20454.0,10010374.0,2.66,0.61,0.03,0.54,0.020000000000000462,0.08000000000000007,0.13000000000000078,0.03000000000000025,0.15384615384615646,0.6153846153846122,0.23076923076923128,12587.076923076927,7866.923076923072,8025.231654878349,21507.380210142233,-13482.148555263884,1.436425,161901143.76167
2024-09-10,603385,4.91,4.92,4.95,4.8,20404.0,9958377.0,3.05,0.0,0.0,0.53,0.03000000000000025,0.11000000000000032,0.15000000000000036,0.009999999999999787,0.20000000000000118,0.7333333333333337,0.06666666666666508,10882.133333333317,9521.866666666683,8406.151878672345,19909.311737678825,-11503.15985900648,1.436425,140314324.784971
2024-09-11,603385,4.92,4.86,4.95,4.83,16584.0,8092047.0,2.44,-1.22,-0.06,0.43,0.03000000000000025,0.03000000000000025,0.1200000000000001,0.05999999999999961,0.25000000000000183,0.25000000000000183,0.4999999999999963,4146.00000000003,12437.999999999969,7838.131628182703,18913.136839321643,-11075.005211138941,1.045829,121605748.286419
2024-09-12,603385,4.88,4.91,4.95,4.85,17745.0,8720714.0,2.06,1.03,0.05,0.46,0.040000000000000036,0.03000000000000025,0.10000000000000053,0.03000000000000025,0.39999999999999825,0.3000000000000009,0.3000000000000009,11534.250000000005,6210.749999999992,8330.947411091678,17219.485260745423,-8888.537849653745,1.336788,105391648.693134
2024-09-13,603385,4.95,4.84,4.95,4.83,15045.0,7319966.0,2.44,-1.43,-0.07,0.39,0.0,0.009999999999999787,0.1200000000000001,0.11000000000000032,0.0,0.08333333333333148,0.9166666666666685,626.8749999999861,14418.125000000015,7303.737756279453,16845.970559312704,-9542.23280303325,1.072271,91339429.010353
