date,股票代码,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率,Upper_Wick,Lower_Wick,Spread,Body_Length,Percent_Upper_Wick,Percent_Lower_Wick,Percent_Body_Length,Buying_Volume,Selling_Volume,Cumulative_Buying_Volume,Cumulative_Selling_Volume,CVD,UDVR,UDVR_EMA
2024-09-02,300012,10.68,10.24,10.85,10.2,322182.0,339070437.0,6.2,-2.29,-0.24,2.25,0.16999999999999993,0.040000000000000924,0.6500000000000004,0.4399999999999995,0.2615384615384613,0.06153846153846292,0.6769230769230757,52044.7846153848,270137.2153846152,52044.7846153848,270137.2153846152,-218092.43076923038,0.0,0.0
2024-09-03,300012,10.19,10.37,10.43,10.16,156466.0,161495142.0,2.64,1.27,0.13,1.09,0.0600000000000005,0.02999999999999936,0.2699999999999996,0.17999999999999972,0.2222222222222244,0.11111111111110891,0.6666666666666666,130388.33333333333,26077.666666666664,62490.59111111127,237595.94222222205,-175105.35111111077,15646599999.999998,2086213333.333333
2024-09-04,300012,10.3,10.41,10.55,10.26,142765.0,149168247.0,2.8,0.39,0.04,1.0,0.14000000000000057,0.040000000000000924,0.2900000000000009,0.10999999999999943,0.4827586206896556,0.13793103448276137,0.379310344827583,98458.62068965494,44306.37931034505,67286.32838825043,211824.00050063845,-144537.672112388,29923099999.999996,5797798222.222221
2024-09-05,300012,10.45,10.56,10.76,10.42,152965.0,161826639.0,3.27,1.44,0.15,1.07,0.1999999999999993,0.02999999999999936,0.33999999999999986,0.11000000000000121,0.5882352941176452,0.08823529411764522,0.32352941176470956,101226.8382352944,51738.1617647056,71811.72970118963,190479.22200251406,-118667.49230132443,45219600000.0,11054038459.259258
2024-09-06,300012,10.6,10.39,10.68,10.37,122124.0,128241059.0,2.94,-1.61,-0.17,0.85,0.08000000000000007,0.02000000000000135,0.3100000000000005,0.20999999999999908,0.2580645161290321,0.06451612903226231,0.6774193548387056,19697.419354838956,102426.58064516104,64863.154988342874,178738.86982153365,-113875.71483319078,3.702761,9580166665.185059
2024-09-09,300012,10.3,10.4,10.56,10.3,128620.0,134293269.0,2.5,0.1,0.01,0.9,0.16000000000000014,0.0,0.2599999999999998,0.09999999999999964,0.6153846153846164,0.0,0.3846153846153836,89044.61538461533,39575.38461538468,68087.34970784587,160183.7384607138,-92096.38875286792,4.755953,8302811110.461178
2024-09-10,300012,10.43,10.27,10.47,10.13,137543.0,140984940.0,3.27,-1.25,-0.13,0.96,0.040000000000000924,0.1399999999999988,0.33999999999999986,0.16000000000000014,0.11764705882353217,0.41176470588234954,0.47058823529411825,36408.441176470544,101134.55882352946,63863.495236995834,152310.5145090892,-88447.01927209337,2.236772,7195769629.364591
2024-09-11,300012,10.23,10.46,10.52,10.2,130740.0,136236154.0,3.12,1.85,0.19,0.91,0.05999999999999872,0.030000000000001137,0.3200000000000003,0.23000000000000043,0.18749999999999584,0.09375000000000347,0.7187500000000007,112354.68750000004,18385.312499999956,70328.98753872972,134453.82090787732,-64124.8333691476,2.740263,6236333679.148014
2024-09-12,300012,10.45,10.47,10.63,10.4,96637.0,101886244.0,2.2,0.1,0.01,0.67,0.16000000000000014,0.049999999999998934,0.23000000000000043,0.02000000000000135,0.6956521739130428,0.21739130434782106,0.08695652173913615,52520.10869565245,44116.89130434755,67954.47035965275,122408.89696074002,-54454.42660108727,3.112421,5404822522.343268
2024-09-13,300012,10.47,10.32,10.5,10.3,60329.0,62693676.0,1.91,-1.43,-0.15,0.42,0.02999999999999936,0.019999999999999574,0.1999999999999993,0.15000000000000036,0.14999999999999733,0.09999999999999823,0.7500000000000044,7541.124999999866,52787.87500000013,59899.357645032374,113126.09403264137,-53226.736387608995,2.525635,4684179519.700917
2024-09-18,300012,10.3,10.31,10.36,10.16,83666.0,85773426.0,1.94,-0.1,-0.01,0.58,0.049999999999998934,0.14000000000000057,0.1999999999999993,0.009999999999999787,0.24999999999999556,0.7000000000000053,0.049999999999999115,43924.649999999965,39741.350000000035,57769.396625694724,103341.46149495586,-45572.064869261136,2.002153,4059622250.674416
2024-09-19,300012,10.41,10.68,10.84,10.27,148428.0,157586627.0,5.53,3.59,0.37,1.04,0.16000000000000014,0.14000000000000057,0.5700000000000003,0.2699999999999996,0.280701754385965,0.24561403508772017,0.4736842105263148,109367.99999999993,39060.00000000007,64649.210408935425,94770.59996229509,-30121.389553359666,2.369856,3518339284.233808
2024-09-20,300012,10.63,10.53,10.65,10.36,115080.0,120644142.0,2.72,-1.4,-0.15,0.8,0.019999999999999574,0.16999999999999993,0.2900000000000009,0.10000000000000142,0.06896551724137762,0.586206896551722,0.34482758620690035,37698.620689654956,77381.37931034504,61055.79844636469,92452.03720870175,-31396.238762337052,1.844117,3049227379.915182
2024-09-23,300012,10.55,10.42,10.62,10.38,101758.0,106626309.0,2.28,-1.04,-0.11,0.71,0.06999999999999851,0.03999999999999915,0.23999999999999844,0.13000000000000078,0.29166666666666236,0.1666666666666642,0.5416666666666734,23319.541666666322,78438.45833333368,56024.297542404915,90583.56002531934,-34559.262482914426,1.541694,2642663729.465384
2024-09-24,300012,10.51,11.32,11.36,10.43,322515.0,353726537.0,8.93,8.64,0.9,2.25,0.03999999999999915,0.08000000000000007,0.9299999999999997,0.8100000000000005,0.04301075268817114,0.08602150537634419,0.8709677419354847,301707.5806451614,20807.41935483858,88782.06862277244,81280.07460258857,7501.994020183862,2.06146,2290308565.811528
2024-09-25,300012,11.45,11.27,11.55,11.2,272447.0,309492632.0,3.09,-0.44,-0.05,1.9,0.10000000000000142,0.07000000000000028,0.3500000000000014,0.17999999999999972,0.28571428571428864,0.2,0.5142857142857113,66165.7000000004,206281.2999999996,85766.55280640283,97946.90465557671,-12180.35184917388,1.257264,1984934090.537626
