date,股票代码,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率,Upper_Wick,Lower_Wick,Spread,Body_Length,Percent_Upper_Wick,Percent_Lower_Wick,Percent_Body_Length,Buying_Volume,Selling_Volume,Cumulative_Buying_Volume,Cumulative_Selling_Volume,CVD,UDVR,UDVR_EMA
2024-09-02,600698,3.38,3.37,3.42,3.35,51625.0,17481705.0,2.06,-0.59,-0.02,0.62,0.040000000000000036,0.020000000000000018,0.06999999999999984,0.009999999999999787,0.5714285714285733,0.28571428571428664,0.14285714285714013,22125.00000000007,29499.99999999993,22125.00000000007,29499.99999999993,-7374.999999999862,0.0,0.0
2024-09-03,600698,3.35,3.71,3.71,3.35,341749.0,124582758.0,10.68,10.09,0.34,4.12,0.0,0.0,0.3599999999999999,0.3599999999999999,0.0,0.0,1.0,341749.0,0.0,64741.5333333334,25566.666666666606,39174.86666666679,34174899999.999996,4556653333.333333
2024-09-04,600698,3.71,4.08,4.08,3.6,682539.0,263622655.0,12.94,9.97,0.37,8.22,0.0,0.10999999999999988,0.48,0.3700000000000001,0.0,0.2291666666666664,0.7708333333333336,604331.40625,78207.59374999991,136686.84972222228,32585.45694444438,104101.3927777779,102428799999.99998,17606272888.888885
2024-09-05,600698,4.0,3.89,4.24,3.8,673292.0,269118761.0,10.78,-4.66,-0.19,8.11,0.2400000000000002,0.0900000000000003,0.4400000000000004,0.10999999999999988,0.5454545454545454,0.20454545454545506,0.2499999999999995,252484.50000000015,420807.4999999998,152126.536425926,84348.39601851844,67778.14040740755,1.521313,15258769837.239876
2024-09-06,600698,4.08,3.94,4.2,3.91,534172.0,216084509.0,7.46,1.29,0.05,6.43,0.1200000000000001,0.029999999999999805,0.29000000000000004,0.14000000000000012,0.4137931034482762,0.10344827586206828,0.4827586206896555,138147.93103448267,396024.0689655174,150262.72237373356,125905.15241145164,24357.569962281923,2.314687,13224267192.583183
2024-09-09,600698,3.83,4.33,4.33,3.83,611417.0,252443556.0,12.69,9.9,0.39,7.36,0.0,0.0,0.5,0.5,0.0,0.0,1.0,611417.0,0.0,211749.95939056907,109117.79875659142,102632.16063397765,3.222787,11461031567.33513
2024-09-10,600698,4.39,4.08,4.54,4.03,704752.0,298126814.0,11.78,-5.77,-0.25,8.49,0.15000000000000036,0.04999999999999982,0.5099999999999998,0.3099999999999996,0.29411764705882437,0.0980392156862742,0.6078431372549015,138186.66666666686,566565.3333333333,201941.52036071543,170110.80336682365,31830.71699389178,1.574606,9932894025.233728
2024-09-11,600698,3.89,3.98,4.07,3.87,367963.0,144651809.0,4.9,-2.45,-0.1,4.43,0.0900000000000003,0.020000000000000018,0.20000000000000018,0.08999999999999986,0.4500000000000011,0.1,0.4499999999999989,266773.1749999998,101189.82500000022,210585.74097928667,160921.3395845805,49664.40139470616,1.242765,8608508155.368267
2024-09-12,600698,3.95,4.13,4.18,3.91,405678.0,166079745.0,6.78,3.77,0.15,4.89,0.04999999999999982,0.040000000000000036,0.2699999999999996,0.17999999999999972,0.18518518518518481,0.1481481481481485,0.6666666666666666,338064.99999999994,67613.0,227582.97551538178,148480.2276399698,79102.747875412,1.475111,7460707068.182512
2024-09-13,600698,4.07,4.1,4.25,3.93,370112.0,151974307.0,7.75,-0.73,-0.03,4.46,0.15000000000000036,0.14000000000000012,0.31999999999999984,0.02999999999999936,0.46875000000000133,0.4375000000000006,0.09374999999999804,202404.99999999962,167707.00000000038,224225.91211333082,151043.79728797387,73182.11482535696,1.217113,6465946125.92046
