date,股票代码,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率,Upper_Wick,Lower_Wick,Spread,Body_Length,Percent_Upper_Wick,Percent_Lower_Wick,Percent_Body_Length,Buying_Volume,Selling_Volume,Cumulative_Buying_Volume,Cumulative_Selling_Volume,CVD,UDVR,UDVR_EMA
2024-09-02,600749,10.49,10.29,10.63,10.27,51628.0,53977178.0,3.43,-1.91,-0.2,2.27,0.14000000000000057,0.019999999999999574,0.3600000000000012,0.20000000000000107,0.3888888888888892,0.055555555555554186,0.5555555555555567,11472.888888888861,40155.11111111114,11472.888888888861,40155.11111111114,-28682.222222222277,0.0,0.0
2024-09-03,600749,10.34,10.54,10.96,10.29,69714.0,74020531.0,6.51,2.43,0.25,3.07,0.4200000000000017,0.05000000000000071,0.6700000000000017,0.1999999999999993,0.626865671641792,0.07462686567164266,0.29850746268656536,45262.07462686561,24451.925373134392,15978.113653952427,38061.353012714244,-22083.239358761817,6971399999.999999,929520000.0
2024-09-04,600749,10.48,10.45,10.63,10.41,47643.0,50063000.0,2.09,-0.85,-0.09,2.1,0.15000000000000036,0.03999999999999915,0.22000000000000064,0.030000000000001137,0.6818181818181814,0.1818181818181774,0.13636363636364113,20573.113636363523,27069.886363636477,16590.780318273908,36595.82412617054,-20005.043807896633,1.463258,805584000.195101
2024-09-05,600749,10.42,10.51,10.55,10.42,36087.0,37874902.0,1.24,0.57,0.06,1.59,0.040000000000000924,0.0,0.13000000000000078,0.08999999999999986,0.3076923076923129,0.0,0.6923076923076871,30535.153846153753,5551.846153846248,18450.03012199122,32456.627063193966,-14006.596941202744,2.220704,698172800.465181
2024-09-06,600749,10.52,10.49,10.76,10.42,63170.0,66710030.0,3.24,-0.19,-0.02,2.78,0.2400000000000002,0.07000000000000028,0.33999999999999986,0.02999999999999936,0.7058823529411774,0.2058823529411774,0.08823529411764522,28798.088235294177,34371.91176470582,19829.77120376495,32711.998356728884,-12882.227152963933,0.954771,605083093.863793
2024-09-09,600749,10.49,10.77,10.9,10.4,117203.0,125274197.0,4.77,2.67,0.28,5.16,0.13000000000000078,0.08999999999999986,0.5,0.27999999999999936,0.26000000000000156,0.17999999999999972,0.5599999999999987,91418.33999999992,25784.660000000076,29374.913709929613,31788.353242498375,-2413.439532568762,2.012435,524405348.283612
2024-09-10,600749,10.7,10.45,10.7,10.21,83731.0,87302894.0,4.55,-2.97,-0.32,3.69,0.0,0.23999999999999844,0.48999999999999844,0.25,0.0,0.4897959183673453,0.5102040816326547,20505.551020408097,63225.44897959191,28192.332017993413,35979.96600744418,-7787.6339894507655,1.146291,454484635.331969
2024-09-11,600749,10.35,10.25,10.41,10.22,38146.0,39300360.0,1.82,-1.91,-0.2,1.68,0.0600000000000005,0.02999999999999936,0.1899999999999995,0.09999999999999964,0.31578947368421395,0.1578947368421023,0.5263157894736837,9034.57894736843,29111.42105263157,25637.964941910082,35064.16001346916,-9426.19507155908,0.958374,393886684.082157
2024-09-12,600749,10.2,10.14,10.32,10.11,31651.0,32327988.0,2.05,-1.07,-0.11,1.39,0.120000000000001,0.030000000000001137,0.21000000000000085,0.05999999999999872,0.5714285714285738,0.14285714285714768,0.2857142857142785,11303.928571428685,20347.071428571315,23726.760092512563,33101.88153548278,-9375.12144297022,0.843622,341368459.650352
2024-09-13,600749,10.09,10.02,10.18,10.0,31138.0,31346992.0,1.78,-1.18,-0.12,1.37,0.08999999999999986,0.019999999999999574,0.17999999999999972,0.07000000000000028,0.5,0.11111111111110891,0.38888888888889106,9514.388888888856,21623.611111111146,21831.777265362736,31571.4454788999,-9739.668213537163,0.75472,295852665.130934
