date,股票代码,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率,Upper_Wick,Lower_Wick,Spread,Body_Length,Percent_Upper_Wick,Percent_Lower_Wick,Percent_Body_Length,Buying_Volume,Selling_Volume,Cumulative_Buying_Volume,Cumulative_Selling_Volume,CVD,UDVR,UDVR_EMA
2024-09-02,000566,3.05,2.99,3.09,2.99,76844.0,23333909.63,3.28,-1.97,-0.06,0.66,0.040000000000000036,0.0,0.09999999999999964,0.05999999999999961,0.4000000000000018,0.0,0.5999999999999982,15368.800000000068,61475.19999999993,15368.800000000068,61475.19999999993,-46106.39999999986,0.0,0.0
2024-09-03,000566,3.0,3.0,3.02,2.97,60788.0,18197944.41,1.67,0.33,0.01,0.52,0.020000000000000018,0.029999999999999805,0.04999999999999982,0.0,0.4000000000000018,0.5999999999999982,0.0,30394.0,30394.0,17372.16000000006,57331.03999999994,-39958.87999999988,6078799999.999999,810506666.666666
2024-09-04,000566,2.99,2.99,3.03,2.98,43085.0,12936423.0,1.67,-0.33,-0.01,0.37,0.03999999999999959,0.010000000000000231,0.04999999999999982,0.0,0.7999999999999947,0.20000000000000534,0.0,21542.5,21542.5,17928.205333333386,52559.23466666662,-34631.02933333324,1.410885,702439111.299229
2024-09-05,000566,3.01,3.06,3.06,3.0,56558.0,17160405.55,2.01,2.34,0.07,0.49,0.0,0.009999999999999787,0.06000000000000005,0.050000000000000266,0.0,0.16666666666666297,0.833333333333337,51844.83333333344,4713.166666666562,22450.42240000006,46179.75893333328,-23729.33653333322,2.723593,608780563.489144
2024-09-06,000566,3.37,3.37,3.37,3.34,500177.0,168525311.88,0.98,10.13,0.31,4.29,0.0,0.03000000000000025,0.03000000000000025,0.0,0.0,1.0,0.0,250088.5,250088.5,52802.16608000005,73367.59107555551,-20565.424995555455,14.332668,527609823.601614
2024-09-09,000566,3.71,3.71,3.71,3.71,98720.0,36625120.0,0.0,10.09,0.34,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45761.87726933338,63585.24559881478,-17823.368329481396,16.623953,457261849.337926
2024-09-10,000566,4.08,4.08,4.08,4.08,162253.0,66199224.0,0.0,9.97,0.37,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39660.29363342227,55107.21285230614,-15446.919218883872,20.389834,396293605.47818
2024-09-11,000566,4.49,4.49,4.49,4.36,2019556.0,905488278.89,3.19,10.05,0.41,17.32,0.0,0.1299999999999999,0.1299999999999999,0.0,0.0,1.0,0.0,1009778.0,1009778.0,169009.32114896594,182396.6511386653,-13387.329989699356,67.263595,343454467.049569
2024-09-12,000566,4.94,4.94,4.94,4.94,308557.0,152427167.88,0.0,10.02,0.45,2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146474.74499577048,158077.09765350993,-11602.352657739451,74.425183,297660548.032984
2024-09-13,000566,5.43,5.43,5.43,5.36,1220372.0,662624859.88,1.42,9.92,0.49,10.47,0.0,0.0699999999999994,0.0699999999999994,0.0,0.0,1.0,0.0,610186.0,610186.0,208302.91232966777,218358.28463304194,-10055.37230337417,102.749936,257972488.661911
