date,股票代码,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率,Upper_Wick,Lower_Wick,Spread,Body_Length,Percent_Upper_Wick,Percent_Lower_Wick,Percent_Body_Length,Buying_Volume,Selling_Volume,Cumulative_Buying_Volume,Cumulative_Selling_Volume,CVD,UDVR,UDVR_EMA
2024-09-02,601668,5.38,5.28,5.39,5.26,1857109.0,985221765.0,2.41,-2.04,-0.11,0.45,0.009999999999999787,0.020000000000000462,0.1299999999999999,0.09999999999999964,0.07692307692307535,0.15384615384615752,0.7692307692307672,214281.80769230964,1642827.1923076904,214281.80769230964,1642827.1923076904,-1428545.3846153808,0.0,0.0
2024-09-03,601668,5.27,5.12,5.28,5.09,2945309.0,1516188383.0,3.6,-3.03,-0.16,0.71,0.010000000000000675,0.03000000000000025,0.1900000000000004,0.14999999999999947,0.05263157894737187,0.15789473684210625,0.7894736842105219,310032.526315796,2635276.473684204,227048.57017544116,1775153.7631578923,-1548105.192982451,0.0,0.0
2024-09-04,601668,5.11,5.01,5.16,5.01,2220567.0,1123795951.0,2.93,-2.15,-0.11,0.54,0.04999999999999982,0.0,0.15000000000000036,0.10000000000000053,0.33333333333333137,0.0,0.6666666666666686,370094.49999999785,1850472.5000000023,246121.36081871536,1785196.261403507,-1539074.9005847918,0.0,0.0
2024-09-05,601668,5.02,5.07,5.08,5.02,1664825.0,840117464.0,1.2,1.2,0.06,0.4,0.009999999999999787,0.0,0.0600000000000005,0.05000000000000071,0.16666666666666174,0.0,0.8333333333333383,1526089.5833333374,138735.41666666258,416783.79048733163,1565668.148771928,-1148884.3582845964,0.322274,0.04297
2024-09-06,601668,5.08,5.02,5.11,5.01,1173630.0,593974539.0,1.97,-0.99,-0.05,0.28,0.03000000000000025,0.009999999999999787,0.10000000000000053,0.0600000000000005,0.3000000000000009,0.09999999999999734,0.6000000000000018,234725.99999999898,938904.000000001,392509.418422354,1482099.5956023377,-1089590.1771799838,0.262611,0.072255
2024-09-09,601668,4.99,4.88,5.0,4.86,2443519.0,1199493667.0,2.79,-2.79,-0.14,0.59,0.009999999999999787,0.019999999999999574,0.13999999999999968,0.11000000000000032,0.07142857142857006,0.14285714285714013,0.7857142857142898,261805.60714285215,2181713.392857148,375082.24358508707,1575381.4352363124,-1200299.1916512253,0.18955,0.087895
2024-09-10,601668,4.89,4.92,4.93,4.84,1564687.0,764815959.0,1.84,0.82,0.04,0.38,0.009999999999999787,0.04999999999999982,0.08999999999999986,0.03000000000000025,0.11111111111110891,0.5555555555555545,0.33333333333333665,1043124.6666666692,521562.3333333308,464154.56666263135,1434872.2216492482,-970717.6549866168,0.367699,0.125202
2024-09-11,601668,4.9,4.81,4.91,4.79,1690205.0,815483812.0,2.44,-2.24,-0.11,0.41,0.009999999999999787,0.019999999999999574,0.1200000000000001,0.09000000000000075,0.08333333333333148,0.16666666666666297,0.7500000000000056,211275.6249999953,1478929.3750000047,430437.37444094656,1440746.5087626823,-1010309.1343217357,0.308359,0.149623
2024-09-12,601668,4.8,4.79,4.84,4.79,1383535.0,665512584.0,1.04,-0.42,-0.02,0.33,0.040000000000000036,0.0,0.04999999999999982,0.009999999999999787,0.8000000000000036,0.0,0.19999999999999646,553414.0000000024,830120.9999999977,446834.2578488207,1359329.774260991,-912495.5164121704,0.272377,0.16599
2024-09-13,601668,4.8,4.77,4.83,4.77,1189304.0,570451777.0,1.25,-0.42,-0.02,0.29,0.03000000000000025,0.0,0.0600000000000005,0.03000000000000025,0.5,0.0,0.5,297326.0,891978.0,426899.823468978,1297016.2043595256,-870116.3808905475,0.247547,0.176864
2024-09-18,601668,4.77,4.8,4.83,4.72,1353936.0,645664973.0,2.31,0.63,0.03,0.33,0.03000000000000025,0.04999999999999982,0.11000000000000032,0.03000000000000025,0.2727272727272742,0.4545454545454516,0.2727272727272742,861595.6363636374,492340.3636363626,484859.26518826594,1189726.0922631037,-704866.8270748378,0.351328,0.200126
2024-09-19,601668,4.82,4.89,4.93,4.77,1765156.0,858846994.0,3.33,1.88,0.09,0.43,0.040000000000000036,0.05000000000000071,0.16000000000000014,0.0699999999999994,0.25,0.31250000000000416,0.43749999999999584,1268705.8749999965,496450.1250000037,589372.1464964966,1097289.2966280237,-507917.1501315271,0.48663,0.238327
2024-09-20,601668,4.88,4.91,4.93,4.84,1688328.0,824684053.0,1.84,0.41,0.02,0.41,0.019999999999999574,0.040000000000000036,0.08999999999999986,0.03000000000000025,0.22222222222221782,0.44444444444444553,0.33333333333333665,1125552.0000000028,562775.9999999972,660862.7936302975,1026020.8570776202,-365158.0634473227,0.616042,0.288689
2024-09-23,601668,4.91,4.95,4.98,4.88,1191348.0,588731400.0,2.04,0.81,0.04,0.29,0.03000000000000025,0.03000000000000025,0.10000000000000053,0.040000000000000036,0.3000000000000009,0.3000000000000009,0.39999999999999825,833943.5999999989,357404.4000000011,683940.2344795911,936871.9961339377,-252931.7616543466,0.707361,0.344512
2024-09-24,601668,5.02,5.21,5.21,5.02,3311164.0,1694081269.0,3.84,5.25,0.26,0.8,0.0,0.0,0.1900000000000004,0.1900000000000004,0.0,0.0,1.0,3311164.0,0.0,1034236.736548979,811955.7299827461,222281.00656623289,0.961166,0.426732
2024-09-25,601668,5.31,5.46,5.57,5.31,4828030.0,2646215932.0,4.99,4.8,0.25,1.17,0.11000000000000032,0.0,0.2600000000000007,0.15000000000000036,0.4230769230769232,0.0,0.5769230769230768,3806715.961538461,1021314.0384615387,1403900.6332142432,839870.1711132517,564030.4621009915,1.719422,0.599091
2024-09-26,601668,5.46,5.78,5.78,5.45,4629331.0,2595774377.0,6.04,5.86,0.32,1.12,0.0,0.009999999999999787,0.33000000000000007,0.3200000000000003,0.0,0.03030303030302965,0.9696969696969704,4559189.621212123,70141.37878787729,1824605.8316139607,737239.6654698685,1087366.166144092,2.791404,0.891399
2024-09-27,601668,5.9,5.8,5.96,5.67,3577635.0,2071713380.0,5.02,0.35,0.02,0.87,0.05999999999999961,0.1299999999999999,0.29000000000000004,0.10000000000000053,0.20689655172413657,0.4482758620689651,0.34482758620689835,1171983.8793103416,2405651.1206896584,1737589.5713068114,959694.5261658404,777895.045140971,3.034141,1.177098
2024-09-30,601668,6.0,6.18,6.23,5.88,7343104.0,4470960722.0,6.03,6.55,0.38,1.78,0.05000000000000071,0.1200000000000001,0.35000000000000053,0.17999999999999972,0.14285714285714468,0.34285714285714264,0.5142857142857127,5559778.742857137,1783325.257142863,2247214.7941801883,1069511.9569627768,1177702.8372174115,4.66002,1.641488
