date,股票代码,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率,Upper_Wick,Lower_Wick,Spread,Body_Length,Percent_Upper_Wick,Percent_Lower_Wick,Percent_Body_Length,Buying_Volume,Selling_Volume,Cumulative_Buying_Volume,Cumulative_Selling_Volume,CVD,UDVR,UDVR_EMA
2024-09-02,300793,13.48,13.19,13.74,13.16,177665.0,238121620.0,4.3,-2.3,-0.31,5.38,0.2599999999999998,0.02999999999999936,0.5800000000000001,0.2900000000000009,0.4482758620689651,0.05172413793103337,0.5000000000000016,44416.24999999986,133248.75000000015,44416.24999999986,133248.75000000015,-88832.50000000029,0.0,0.0
2024-09-03,300793,13.28,13.23,13.35,13.02,118986.0,156883990.0,2.5,0.3,0.04,3.61,0.07000000000000028,0.21000000000000085,0.33000000000000007,0.049999999999998934,0.21212121212121293,0.6363636363636388,0.15151515151514824,50478.909090909285,68507.09090909072,45224.60454545445,124616.5287878789,-79391.92424242444,11898599999.999998,1586480000.0
2024-09-04,300793,13.0,12.93,13.05,12.71,105603.0,136118581.0,2.57,-2.27,-0.3,3.2,0.05000000000000071,0.21999999999999886,0.33999999999999986,0.07000000000000028,0.1470588235294139,0.6470588235294087,0.2058823529411774,41930.602941176425,63672.39705882358,44785.404331550715,116490.6445573382,-71705.24022578748,1.126729,1374949333.483564
2024-09-05,300793,12.94,12.97,13.05,12.85,90766.0,117470330.0,1.55,0.31,0.04,2.75,0.08000000000000007,0.08999999999999986,0.20000000000000107,0.030000000000001137,0.39999999999999825,0.4499999999999969,0.15000000000000488,52190.45000000023,38575.549999999785,45772.743754010655,106101.96528302641,-60329.221529015755,1.986231,1191622755.950586
2024-09-06,300793,12.96,12.36,12.98,12.32,114710.0,143918588.0,5.09,-4.7,-0.61,3.48,0.019999999999999574,0.03999999999999915,0.6600000000000001,0.6000000000000014,0.03030303030302965,0.0606060606060593,0.9090909090909111,5214.090909090797,109495.9090909092,40364.923374688005,106554.49112407745,-66189.56774938945,0.952064,1032739721.950783
2024-09-09,300793,12.2,12.21,12.37,12.07,59948.0,73280897.0,2.43,-1.21,-0.15,1.82,0.15999999999999837,0.129999999999999,0.29999999999999893,0.010000000000001563,0.5333333333333298,0.43333333333333157,0.03333333333333866,30973.133333333495,28974.86666666651,39112.6847025074,96210.54119642267,-57097.856493915264,0.748417,895041092.457134
2024-09-10,300793,12.3,12.44,12.5,11.93,83020.0,101326918.0,4.67,1.88,0.23,2.52,0.0600000000000005,0.370000000000001,0.5700000000000003,0.1399999999999988,0.10526315789473767,0.6491228070175453,0.24561403508771706,51705.43859649114,31314.56140350887,40791.71855503857,87557.74389070083,-46766.02533566226,1.044641,775702280.268802
2024-09-11,300793,12.34,12.18,12.4,12.08,62811.0,76744117.0,2.57,-2.09,-0.26,1.9,0.0600000000000005,0.09999999999999964,0.3200000000000003,0.16000000000000014,0.1875000000000014,0.3124999999999986,0.5,15702.75,47108.25,37446.522747700095,82164.4780386074,-44717.9552909073,0.853384,672275309.68008
2024-09-12,300793,12.21,12.0,12.31,11.96,70164.0,84839674.0,2.87,-1.48,-0.18,2.13,0.09999999999999964,0.03999999999999915,0.34999999999999964,0.21000000000000085,0.285714285714285,0.11428571428571196,0.6000000000000031,14032.799999999892,56131.20000000011,34324.69304800674,78693.37430012642,-44368.681252119684,0.708486,582638601.8172
2024-09-13,300793,12.02,11.66,12.07,11.6,72456.0,85650660.0,3.92,-2.83,-0.34,2.2,0.05000000000000071,0.0600000000000005,0.47000000000000064,0.35999999999999943,0.10638297872340562,0.12765957446808598,0.7659574468085084,8478.893617021356,63977.10638297864,30878.58645720869,76731.20524450672,-45852.61878729804,0.602794,504953454.988613
2024-09-18,300793,11.67,11.59,11.75,11.4,50720.0,58493426.0,3.0,-0.6,-0.07,1.54,0.08000000000000007,0.1899999999999995,0.34999999999999964,0.08000000000000007,0.228571428571429,0.542857142857142,0.228571428571429,19563.42857142856,31156.571428571442,29369.898739104676,70654.58740238202,-41284.688663277346,0.545797,437626327.729571
