date,股票代码,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率,Upper_Wick,Lower_Wick,Spread,Body_Length,Percent_Upper_Wick,Percent_Lower_Wick,Percent_Body_Length,Buying_Volume,Selling_Volume,Cumulative_Buying_Volume,Cumulative_Selling_Volume,CVD,UDVR,UDVR_EMA
2024-09-02,603135,8.26,8.14,8.32,8.13,9634.0,7928700.0,2.29,-1.93,-0.16,0.38,0.0600000000000005,0.009999999999999787,0.1899999999999995,0.11999999999999922,0.31578947368421395,0.05263157894736744,0.6315789473684186,1774.6842105263274,7859.315789473672,1774.6842105263274,7859.315789473672,-6084.631578947345,0.0,0.0
2024-09-03,603135,8.12,8.21,8.26,8.11,11699.0,9602466.0,1.84,0.86,0.07,0.46,0.049999999999998934,0.009999999999999787,0.15000000000000036,0.09000000000000163,0.33333333333332543,0.06666666666666508,0.6000000000000095,9359.200000000057,2339.7999999999447,2785.9529824561578,7123.380350877175,-4337.4273684210175,1169900000.0,155986666.666667
2024-09-04,603135,8.17,8.2,8.34,8.13,13727.0,11266286.0,2.56,-0.12,-0.01,0.54,0.14000000000000057,0.03999999999999915,0.20999999999999908,0.02999999999999936,0.6666666666666723,0.19047619047618725,0.14285714285714043,7843.999999999983,5883.000000000016,3460.3592514620013,6957.9963040935545,-3497.637052631553,0.852262,135188444.558079
2024-09-05,603135,8.23,8.24,8.3,8.2,10507.0,8671766.0,1.22,0.49,0.04,0.42,0.0600000000000005,0.030000000000001137,0.10000000000000142,0.009999999999999787,0.5999999999999964,0.3000000000000071,0.09999999999999645,5778.84999999998,4728.150000000018,3769.491351267065,6660.68346354775,-2891.192112280685,1.617688,117163318.832694
2024-09-06,603135,8.26,8.09,8.28,8.07,9984.0,8136865.0,2.55,-1.82,-0.15,0.4,0.019999999999999574,0.019999999999999574,0.20999999999999908,0.16999999999999993,0.09523809523809362,0.09523809523809362,0.8095238095238128,950.8571428571267,9033.142857142873,3393.6734568124066,6977.011382693767,-3583.33792588136,0.936527,101541543.113205
2024-09-09,603135,8.09,8.11,8.13,8.0,8533.0,6894557.0,1.61,0.25,0.02,0.34,0.02000000000000135,0.08999999999999986,0.13000000000000078,0.019999999999999574,0.15384615384616332,0.6923076923076871,0.15384615384614964,4922.884615384598,3610.1153846154025,3597.5682779553654,6528.091916283318,-2930.5236383279525,1.296403,88002670.870965
2024-09-10,603135,8.11,8.22,8.26,8.04,13011.0,10605541.0,2.71,1.36,0.11,0.51,0.03999999999999915,0.07000000000000028,0.22000000000000064,0.11000000000000121,0.1818181818181774,0.31818181818181857,0.500000000000004,9758.250000000025,3252.749999999974,4418.99250756132,6091.379660778872,-1672.3871532175517,1.845135,76268981.667521
2024-09-11,603135,8.19,8.18,8.26,8.14,8310.0,6808791.0,1.46,-0.49,-0.04,0.33,0.07000000000000028,0.03999999999999915,0.11999999999999922,0.009999999999999787,0.5833333333333395,0.3333333333333284,0.0833333333333321,3808.750000000005,4501.249999999995,4337.626839886479,5879.362372675022,-1541.7355327885434,1.366291,66099784.294023
2024-09-12,603135,8.18,8.17,8.27,8.14,8663.0,7122525.0,1.59,-0.12,-0.01,0.34,0.08999999999999986,0.02999999999999936,0.129999999999999,0.009999999999999787,0.6923076923076965,0.23076923076922762,0.07692307692307587,3998.307692307697,4664.692307692303,4292.384286875975,5717.40636401066,-1425.0220771346849,1.075361,57286479.864868
2024-09-13,603135,8.19,7.97,8.2,7.96,15662.0,12599339.0,2.94,-2.45,-0.2,0.62,0.009999999999999787,0.009999999999999787,0.23999999999999932,0.21999999999999975,0.041666666666665894,0.041666666666665894,0.9166666666666682,652.5833333333212,15009.416666666677,3807.077493070288,6956.341071031462,-3149.263577961174,0.776453,49648282.65308
