date,股票代码,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率,Upper_Wick,Lower_Wick,Spread,Body_Length,Percent_Upper_Wick,Percent_Lower_Wick,Percent_Body_Length,Buying_Volume,Selling_Volume,Cumulative_Buying_Volume,Cumulative_Selling_Volume,CVD,UDVR,UDVR_EMA
2024-09-02,605296,28.18,27.2,28.55,27.15,32124.0,89266964.0,4.95,-3.89,-1.1,4.65,0.370000000000001,0.05000000000000071,1.4000000000000021,0.9800000000000004,0.26428571428571457,0.03571428571428617,0.6999999999999993,4818.600000000011,27305.399999999987,4818.600000000011,27305.399999999987,-22486.799999999974,0.0,0.0
2024-09-03,605296,27.22,27.67,28.15,27.13,27176.0,75297201.0,3.75,1.73,0.47,3.94,0.4799999999999969,0.08999999999999986,1.0199999999999996,0.45000000000000284,0.47058823529411475,0.08823529411764695,0.4411764705882383,19582.70588235298,7593.2941176470185,6787.1474509804075,24677.11921568626,-17889.971764705853,2717600000.0,362346666.666667
2024-09-04,605296,27.58,27.26,27.76,26.87,19592.0,53472103.0,3.22,-1.48,-0.41,2.84,0.18000000000000327,0.39000000000000057,0.8900000000000006,0.31999999999999673,0.2022471910112395,0.4382022471910116,0.3595505617977489,6273.842696629252,13318.157303370746,6718.70681706692,23162.59096071086,-16443.88414364394,1.387097,314033777.962724
2024-09-05,605296,27.28,27.31,27.64,27.05,18798.0,51465140.0,2.16,0.18,0.05,2.72,0.33000000000000185,0.23000000000000043,0.5899999999999999,0.029999999999997584,0.5593220338983084,0.38983050847457706,0.05084745762711456,9876.915254237249,8921.084745762751,7139.801275356297,21263.723465384443,-14123.922190028145,2.34657,272162607.88057
2024-09-06,605296,27.32,26.85,27.44,26.72,15810.0,42615460.0,2.64,-1.68,-0.46,2.29,0.120000000000001,0.13000000000000256,0.7200000000000024,0.46999999999999886,0.1666666666666675,0.1805555555555585,0.652777777777774,2744.7916666666965,13065.208333333305,6553.799994197684,20170.58811444429,-13616.788120246605,1.298627,235874260.336311
2024-09-09,605296,26.66,26.92,26.98,26.2,18462.0,49237933.0,2.91,0.26,0.07,2.67,0.05999999999999872,0.46000000000000085,0.7800000000000011,0.26000000000000156,0.07692307692307516,0.58974358974359,0.33333333333333487,12308.000000000015,6153.999999999986,7321.026661637995,18301.709699185052,-10980.683037547056,1.820123,204424359.200819
2024-09-10,605296,26.81,26.61,27.08,26.3,15563.0,41413202.0,2.9,-1.15,-0.31,2.25,0.2699999999999996,0.3099999999999987,0.7799999999999976,0.1999999999999993,0.3461538461538467,0.397435897435897,0.2564102564102563,5786.243589743591,9776.75641025641,7116.3889187187415,17165.049260661235,-10048.660341942494,1.264319,177167778.142619
2024-09-11,605296,26.33,26.5,26.75,25.96,17415.0,45988036.0,2.97,-0.41,-0.11,2.52,0.25,0.36999999999999744,0.7899999999999991,0.1700000000000017,0.316455696202532,0.4683544303797441,0.21518987341772391,10581.265822784831,6833.734177215169,7578.372505927554,15787.540582868427,-8209.168076940874,0.942322,153545407.849246
2024-09-12,605296,26.57,26.37,26.8,26.32,12121.0,32153723.0,1.81,-0.49,-0.13,1.76,0.23000000000000043,0.05000000000000071,0.4800000000000004,0.1999999999999993,0.47916666666666713,0.10416666666666806,0.4166666666666648,3535.291666666678,8585.708333333321,7039.295060692771,14827.296282930412,-7788.001222237642,0.800437,133072686.909405
2024-09-13,605296,26.38,26.0,26.56,25.85,13789.0,36036926.0,2.69,-1.4,-0.37,2.0,0.17999999999999972,0.14999999999999858,0.7099999999999973,0.379999999999999,0.25352112676056393,0.21126760563380162,0.5352112676056344,3204.4859154929536,10584.514084507047,6527.987174666128,14261.591989807297,-7733.604815141169,0.683381,115329662.079269
2024-09-18,605296,26.65,25.14,26.65,25.06,23421.0,59556800.0,6.12,-3.31,-0.86,3.39,0.0,0.08000000000000185,1.5899999999999999,1.509999999999998,0.0,0.0503144654088062,0.9496855345911938,589.207547169825,22831.792452830174,5736.149890999955,15404.285384877014,-9668.13549387706,0.547408,99952373.87502
2024-09-19,605296,25.5,25.6,26.28,25.29,27003.0,69585249.0,3.94,1.83,0.46,3.91,0.6799999999999997,0.21000000000000085,0.990000000000002,0.10000000000000142,0.6868686868686852,0.21212121212121254,0.10101010101010224,14865.287878787894,12137.712121212104,6953.3682893716805,14968.742283055026,-8015.373993683345,0.776809,86625390.795259
2024-09-20,605296,25.65,25.91,26.02,25.27,24923.0,63949737.0,2.93,1.21,0.31,3.61,0.10999999999999943,0.379999999999999,0.75,0.26000000000000156,0.14666666666666592,0.5066666666666654,0.34666666666666873,16781.486666666693,8141.513333333308,8263.784073011015,14058.445089758796,-5794.661016747781,0.98854,75075338.82103
2024-09-23,605296,25.51,25.14,26.35,25.07,23396.0,59654424.0,4.94,-2.97,-0.77,3.39,0.8399999999999999,0.07000000000000028,1.2800000000000011,0.370000000000001,0.6562499999999993,0.054687500000000173,0.2890625000000005,8316.546874999995,15079.453125000005,8270.819113276211,14194.579494457623,-5923.7603811814115,0.824637,65065293.754844
2024-09-24,605296,25.08,26.29,26.43,25.08,35028.0,90260185.0,5.37,4.57,1.15,5.07,0.14000000000000057,0.0,1.3500000000000014,1.2100000000000009,0.10370370370370402,0.0,0.896296296296296,33211.73333333333,1816.266666666672,11596.27434261716,12544.137784085497,-947.8634414683365,1.072874,56389921.397248
2024-09-25,605296,26.3,25.72,26.9,25.56,47958.0,126067006.0,5.1,-2.17,-0.57,6.95,0.5999999999999979,0.16000000000000014,1.3399999999999999,0.5800000000000018,0.4477611940298492,0.11940298507462699,0.4328358208955238,13600.029850746234,34357.970149253764,11863.441743701038,15452.648766107934,-3589.2070224068957,0.656991,48871265.298547
2024-09-26,605296,25.61,27.35,27.4,25.51,48119.0,126970748.0,7.35,6.34,1.63,6.97,0.04999999999999716,0.09999999999999787,1.889999999999997,1.740000000000002,0.026455026455024993,0.052910052910051866,0.9206349206349231,46209.51587301593,1909.4841269840667,16442.91829427636,13646.893480891418,2796.02481338494,1.016876,42355096.727658
2024-09-27,605296,27.75,28.53,28.6,27.75,30371.0,85824424.0,3.11,4.31,1.18,4.4,0.07000000000000028,0.0,0.8500000000000014,0.7800000000000011,0.08235294117647078,0.0,0.9176470588235293,29120.429411764704,1250.570588235297,18133.25310994147,11994.050428537268,6139.202681404202,1.085164,36707750.641992
2024-09-30,605296,29.5,31.31,31.31,28.4,72043.0,216475382.0,10.2,9.74,2.78,10.43,0.0,1.1000000000000014,2.91,1.8099999999999987,0.0,0.37800687285223417,0.6219931271477659,58426.62542955325,13616.374570446753,23505.702752556375,12210.360314125199,11295.342438431177,1.665651,31813384.111813
2024-10-08,605296,34.37,30.35,34.38,29.2,106353.0,331619607.0,16.54,-3.07,-0.96,15.4,0.010000000000005116,1.1500000000000021,5.180000000000003,4.019999999999996,0.001930501930502917,0.22200772200772229,0.7760617760617748,11908.250965251033,94444.74903474898,21959.375847582327,23174.945476875037,-1215.5696292927096,0.913355,27571599.685352
