date,股票代码,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率,Upper_Wick,Lower_Wick,Spread,Body_Length,Percent_Upper_Wick,Percent_Lower_Wick,Percent_Body_Length,Buying_Volume,Selling_Volume,Cumulative_Buying_Volume,Cumulative_Selling_Volume,CVD,UDVR,UDVR_EMA
2024-09-02,603219,14.85,14.55,14.9,14.48,30013.0,44113896.0,2.83,-2.02,-0.3,1.93,0.05000000000000071,0.07000000000000028,0.41999999999999993,0.29999999999999893,0.11904761904762076,0.16666666666666738,0.7142857142857119,4287.571428571465,25725.428571428532,4287.571428571465,25725.428571428532,-21437.85714285707,0.0,0.0
2024-09-03,603219,14.55,14.58,14.73,14.19,36365.0,52746979.0,3.71,0.21,0.03,2.34,0.15000000000000036,0.3600000000000012,0.5400000000000009,0.02999999999999936,0.27777777777777796,0.6666666666666677,0.055555555555554276,19192.638888888865,17172.361111111135,6274.913756613785,24585.019576719547,-18310.10582010576,3636500000.0,484866666.666667
2024-09-04,603219,14.59,14.35,14.6,14.28,23247.0,33505641.0,2.19,-1.58,-0.23,1.5,0.009999999999999787,0.07000000000000028,0.3200000000000003,0.2400000000000002,0.031249999999999306,0.2187500000000007,0.75,2905.875,20341.125,5825.708589065281,24019.166966490277,-18193.458377424995,1.564288,420217777.98635
2024-09-05,603219,14.38,14.45,14.5,14.3,16741.0,24104039.0,1.39,0.7,0.1,1.08,0.05000000000000071,0.08000000000000007,0.1999999999999993,0.06999999999999851,0.25000000000000444,0.4000000000000018,0.34999999999999376,11300.174999999948,5440.825000000053,6555.63744385657,21542.05470429158,-14986.41726043501,2.284424,364188741.226093
2024-09-06,603219,14.5,14.38,14.6,14.18,27267.0,39190898.0,2.91,-0.48,-0.07,1.76,0.09999999999999964,0.20000000000000107,0.41999999999999993,0.11999999999999922,0.23809523809523728,0.47619047619047883,0.2857142857142839,9738.21428571431,17528.78571428569,6979.981022770935,21006.952172290796,-14026.97114951986,1.051313,315630242.536122
2024-09-09,603219,14.31,13.9,14.31,13.85,35213.0,49318081.0,3.2,-3.34,-0.48,2.27,0.0,0.05000000000000071,0.46000000000000085,0.41000000000000014,0.0,0.10869565217391439,0.8913043478260856,1913.7500000000236,33299.24999999998,6304.483553068147,22645.925215985353,-16341.441662917206,0.619478,273546210.28057
2024-09-10,603219,14.05,14.22,14.33,13.8,31157.0,43894902.0,3.81,2.3,0.32,2.01,0.10999999999999943,0.25,0.5299999999999994,0.16999999999999993,0.20754716981131993,0.47169811320754773,0.32075471698113234,20575.37735849057,10581.62264150943,8207.269393791135,21037.351539388565,-12830.08214559743,0.982923,237073382.374217
2024-09-11,603219,14.09,14.12,14.16,13.9,16170.0,22707263.0,1.83,-0.7,-0.1,1.04,0.040000000000000924,0.1899999999999995,0.2599999999999998,0.02999999999999936,0.15384615384615752,0.7307692307692295,0.11538461538461302,9017.884615384595,7152.115384615404,8315.35142333693,19185.986718752145,-10870.635295415215,0.826943,205463598.167914
2024-09-12,603219,14.12,13.88,14.2,13.86,23160.0,32423963.0,2.41,-1.7,-0.24,1.49,0.08000000000000007,0.02000000000000135,0.33999999999999986,0.23999999999999844,0.23529411764705913,0.0588235294117687,0.7058823529411722,3405.882352941226,19754.117647058774,7660.755547284169,19261.73750919303,-11600.981961908861,0.673797,178068451.835365
2024-09-13,603219,13.94,13.79,13.94,13.56,18705.0,25670954.0,2.74,-0.65,-0.09,1.2,0.0,0.22999999999999865,0.379999999999999,0.15000000000000036,0.0,0.6052631578947348,0.3947368421052651,5660.723684210508,13044.276315789491,7394.084632207681,18432.742683405893,-11038.658051198212,0.586128,154325991.6688
