date,股票代码,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率,Upper_Wick,Lower_Wick,Spread,Body_Length,Percent_Upper_Wick,Percent_Lower_Wick,Percent_Body_Length,Buying_Volume,Selling_Volume,Cumulative_Buying_Volume,Cumulative_Selling_Volume,CVD,UDVR,UDVR_EMA
2024-09-02,002076,1.54,1.53,1.57,1.52,194947.0,30180074.0,3.25,-0.65,-0.01,1.89,0.030000000000000027,0.010000000000000009,0.050000000000000044,0.010000000000000009,0.6,0.2,0.2,77978.8,116968.20000000001,77978.8,116968.20000000001,-38989.40000000001,0.0,0.0
2024-09-03,002076,1.53,1.55,1.55,1.52,121353.0,18668335.0,1.96,1.31,0.02,1.17,0.0,0.010000000000000009,0.030000000000000027,0.020000000000000018,0.0,0.3333333333333333,0.6666666666666666,101127.49999999999,20225.5,81065.29333333333,104069.17333333335,-23003.88000000002,12135299999.999998,1618040000.0
2024-09-04,002076,1.55,1.52,1.55,1.51,86971.0,13287892.0,2.58,-1.94,-0.03,0.84,0.0,0.010000000000000009,0.040000000000000036,0.030000000000000027,0.0,0.25,0.75,10871.375,76099.625,71706.10422222222,100339.90022222225,-28633.79600000003,1.395327,1402301333.519377
2024-09-05,002076,1.53,1.56,1.56,1.53,139002.0,21536352.0,1.97,2.63,0.04,1.35,0.0,0.0,0.030000000000000027,0.030000000000000027,0.0,0.0,1.0,139002.0,0.0,80678.89032592592,86961.24685925928,-6282.356533333354,2.993584,1215327822.782604
2024-09-06,002076,1.56,1.52,1.57,1.52,100978.0,15505908.12,3.21,-2.56,-0.04,0.98,0.010000000000000009,0.0,0.050000000000000044,0.040000000000000036,0.2,0.0,0.8,10097.800000000001,90880.2,71268.07828246914,87483.77394469138,-16215.695662222235,1.385243,1053284113.262956
2024-09-09,002076,1.52,1.51,1.54,1.48,107907.0,16322330.0,3.95,-0.66,-0.01,1.04,0.020000000000000018,0.030000000000000027,0.06000000000000005,0.010000000000000009,0.3333333333333333,0.5,0.16666666666666666,44961.24999999999,62945.74999999999,67760.50117813992,84212.03741873252,-16451.5362405926,0.880006,912846231.611896
2024-09-10,002076,1.51,1.54,1.54,1.5,109793.0,16674204.0,2.65,1.99,0.03,1.06,0.0,0.010000000000000009,0.040000000000000036,0.030000000000000027,0.0,0.25,0.75,96068.875,13724.125,71534.9510210546,74813.64909623485,-3278.6980751802475,1.251109,791133400.897125
2024-09-11,002076,1.54,1.51,1.54,1.51,81127.0,12352557.0,1.95,-1.95,-0.03,0.79,0.0,0.0,0.030000000000000027,0.030000000000000027,0.0,0.0,1.0,0.0,81127.0,61996.95755158066,75655.42921673687,-13658.471665156212,0.981869,685648947.575091
2024-09-12,002076,1.52,1.52,1.54,1.51,83999.0,12834916.0,1.99,0.66,0.01,0.81,0.020000000000000018,0.010000000000000009,0.030000000000000027,0.0,0.6666666666666666,0.3333333333333333,0.0,41999.5,41999.5,59330.629878036576,71167.97198783862,-11837.342109802048,1.204688,594229088.059037
2024-09-13,002076,1.52,1.5,1.53,1.5,112123.0,16951557.0,1.97,-1.32,-0.02,1.09,0.010000000000000009,0.0,0.030000000000000027,0.020000000000000018,0.3333333333333333,0.0,0.6666666666666666,18687.166666666664,93435.83333333333,53911.501449853924,74137.02016723792,-20225.518717383995,0.928525,514998543.108302
2024-09-18,002076,1.5,1.47,1.5,1.45,146143.0,21515270.0,3.33,-2.0,-0.03,1.41,0.0,0.020000000000000018,0.050000000000000044,0.030000000000000027,0.0,0.4,0.6,29228.600000000002,116914.40000000001,50620.44792320674,79840.6708116062,-29220.222888399454,0.714912,446332070.789183
2024-09-19,002076,1.47,1.53,1.54,1.47,177124.0,26802004.0,4.76,4.08,0.06,1.71,0.010000000000000009,0.0,0.07000000000000006,0.06000000000000005,0.14285714285714285,0.0,0.8571428571428571,164472.2857142857,12651.714285714284,65800.69296201726,70882.14327482061,-5081.450312803354,0.993738,386821128.149791
2024-09-20,002076,1.53,1.59,1.67,1.51,453845.0,71990907.0,10.46,3.92,0.06,4.39,0.07999999999999985,0.020000000000000018,0.15999999999999992,0.06000000000000005,0.4999999999999993,0.12500000000000017,0.3750000000000005,312018.4375000001,141826.56249999988,98629.72556708165,80341.39917151119,18288.32639557046,1.708174,335244977.957575
2024-09-23,002076,1.57,1.57,1.59,1.54,301529.0,47170067.0,3.14,-1.26,-0.02,2.92,0.020000000000000018,0.030000000000000027,0.050000000000000044,0.0,0.4,0.6,0.0,150764.5,150764.5,105581.0288248041,89731.14594864304,15849.882876161064,1.158349,290545647.717678
2024-09-24,002076,1.58,1.64,1.66,1.58,465695.0,75483273.0,5.1,4.46,0.07,4.51,0.020000000000000018,0.0,0.07999999999999985,0.05999999999999983,0.2500000000000007,0.0,0.7499999999999993,407483.1249999998,58211.87500000017,145834.64164816352,85528.576488824,60306.06515933953,1.655473,251806228.242718
2024-09-25,002076,1.66,1.65,1.71,1.64,401942.0,67496451.55,4.27,0.61,0.01,3.89,0.050000000000000044,0.010000000000000009,0.07000000000000006,0.010000000000000009,0.7142857142857143,0.14285714285714285,0.14285714285714285,172260.85714285716,229681.14285714284,149358.13704745602,104748.91867126651,44609.218376189514,1.954999,218232064.737688
2024-09-26,002076,1.65,1.71,1.71,1.64,381419.0,64474030.0,4.24,3.64,0.06,3.69,0.0,0.010000000000000009,0.07000000000000006,0.06000000000000005,0.0,0.14285714285714285,0.8571428571428571,354174.7857142857,27244.214285714283,176667.02353636664,94414.95808652623,82252.06544984042,2.603908,189134456.453184
2024-09-27,002076,1.72,1.77,1.81,1.71,437892.0,76737197.48,5.85,3.51,0.06,4.24,0.040000000000000036,0.010000000000000009,0.10000000000000009,0.050000000000000044,0.4,0.1,0.5,328419.0,109473.0,196900.6203981844,96422.69700832272,100477.92338986168,2.955623,163916529.320176
2024-09-30,002076,1.86,1.92,1.93,1.77,811989.0,151064505.06,9.04,8.47,0.15,7.86,0.010000000000000009,0.09000000000000008,0.15999999999999992,0.05999999999999983,0.06250000000000008,0.5625000000000008,0.3749999999999991,558242.4374999997,253746.56250000035,245079.52934509312,117399.21240721307,127680.31693788005,4.438527,142060992.66929
2024-10-08,002076,2.11,1.98,2.11,1.85,1041142.0,207164328.37,13.54,3.13,0.06,10.08,0.0,0.1299999999999999,0.2599999999999998,0.1299999999999999,0.0,0.5,0.5,260285.5,780856.5,247106.99209908073,205860.1840862513,41246.808012829424,6.810251,123119527.888085
2024-10-09,002076,1.93,1.78,1.93,1.78,733775.0,135285940.36,7.58,-10.1,-0.2,7.1,0.0,0.0,0.1499999999999999,0.1499999999999999,0.0,0.0,1.0,0.0,733775.0,214159.39315253665,276248.8262080845,-62089.43305554782,3.095262,106703591.249042
2024-10-10,002076,1.78,1.8,1.85,1.72,477602.0,85737807.25,7.3,1.12,0.02,4.62,0.050000000000000044,0.06000000000000005,0.13000000000000012,0.020000000000000018,0.38461538461538464,0.46153846153846156,0.15384615384615385,275539.61538461543,202062.38461538465,222343.4227834805,266357.3006623912,-44013.87787891069,3.658595,92476446.236982
2024-10-11,002076,1.8,1.71,1.8,1.69,367175.0,63880089.0,6.11,-5.0,-0.09,3.55,0.0,0.020000000000000018,0.1100000000000001,0.09000000000000008,0.0,0.18181818181818182,0.8181818181818182,33379.545454545456,333795.4545454546,197148.23913962248,275349.0545134663,-78200.81537384383,2.799135,80146253.778602
2024-10-14,002076,1.76,1.77,1.82,1.72,347548.0,61417408.0,5.85,3.51,0.06,3.36,0.050000000000000044,0.040000000000000036,0.10000000000000009,0.010000000000000009,0.5,0.4,0.1,191151.40000000002,156396.6,196348.6605876728,259488.72724500415,-63140.066657331336,3.226222,69460087.038285
2024-10-15,002076,1.77,1.77,1.82,1.74,367884.0,65759272.0,4.52,0.0,0.0,3.56,0.050000000000000044,0.030000000000000027,0.08000000000000007,0.0,0.625,0.375,0.0,183942.0,183942.0,194694.4391759831,249415.8302790036,-54721.39110302049,3.562405,60198742.574834
2024-10-16,002076,1.75,1.8,1.81,1.73,352936.0,63011721.28,4.52,1.69,0.03,3.42,0.010000000000000009,0.020000000000000018,0.08000000000000007,0.050000000000000044,0.125,0.25,0.625,286760.5,66175.5,206969.9139525187,224983.7862418031,-18013.872289284423,3.687763,52172244.056558
